"","X.1","X","hour_of_crash","drunk_drivers","sober_drivers","total_deaths"
"1",1,1,0,662,611,1400
"2",2,2,1,727,502,1362
"3",3,3,2,758,452,1329
"4",4,4,3,533,412,1038
"5",5,5,4,317,434,835
"6",6,6,5,248,753,1068
"7",7,7,6,206,1000,1312
"8",8,8,7,162,986,1249
"9",9,9,8,88,822,976
"10",10,10,9,88,872,1029
"11",11,11,10,93,926,1121
"12",12,12,11,133,998,1256
"13",13,13,12,131,1092,1343
"14",14,14,13,189,1206,1522
"15",15,15,14,205,1313,1659
"16",16,16,15,269,1421,1846
"17",17,17,16,329,1324,1825
"18",18,18,17,441,1398,1993
"19",19,19,18,524,1373,2049
"20",20,20,19,545,1244,1940
"21",21,21,20,592,1275,2010
"22",22,22,21,641,1171,1962
"23",23,23,22,607,956,1710
"24",24,24,23,624,718,1473
